Nombre;Estrellas restaurante;Usuario;Titulo comentario;Comentario;Calificacion
Bárbaro cocina primitiva sede Laureles;5.0;P3723DPvalentinas;Barbaro;Amé todo, delicioso y Excelente servicio, meseros atentos y carismáticos, pendientes de las necesidades y gustos;5.0
Bárbaro cocina primitiva sede Laureles;5.0;Guerrero8610;Viernes en Barbaro;"Siempre vengo acá porque en pocos lugares encuentro carne tan exquisita , una atención impecable y un ambiente acogedor !

Las costillas son de otro mundo. 

Gracias !";5.0
Bárbaro cocina primitiva sede Laureles;5.0;U9415KVdaniele;Detalles que Fidelizan !;"Muy recomendado el restaurante, fui el día de mi cumpleaños y el establecimiento como tal no sabía de esto, pedí un postre para compartir en familia y se percatan de la situación, me regalan el postre de la casa totalmente gratis y todos los meseros...me cantan el cumpleaños con la vela encendida.
Que gran experiencia !Más";5.0
Bárbaro cocina primitiva sede Laureles;5.0;rockm293;Excelente atención;"Santiago nos atendió de una manera especial. Estuvo siempre pendiente y canto hasta el cumpleaños con nosotros.

1. Felicitaciones
2. Denle un día libre
3. Que le suban el salario.

Gracias";5.0
Bárbaro cocina primitiva sede Laureles;5.0;K5382BDkareng;Excelente atención!;La comida deliciosa y la atención de Santiago de 10!!! Super recomendado el lugar para cualquier tipo de plan.;5.0
Bárbaro cocina primitiva sede Laureles;5.0;estebansG3058XX;Cumpleaños;Demasiado interesante. El apoyo de Miguel fue importante a la hora de escojer el menú. El espacio muy agradable y la música de todo mi gusto.;5.0
Bárbaro cocina primitiva sede Laureles;5.0;961fannyv;Cumpleaños;Excelente comida y servicio.  Miguel muy buen servicio y recomendación. Muy recomendado el lugar. No se arrepienten.;5.0
Bárbaro cocina primitiva sede Laureles;5.0;josemiguels665;Cumpleaños;"Excelente el servicio.
Miguel tuvo unas recomendaciones acertadas sobre la comida tuvo un servicio excelente";5.0
Bárbaro cocina primitiva sede Laureles;5.0;aaronbennettmartinez;Un ratito en pareja;Todo muy bueno. Atencion muy cordial, servicio rápido, las cortinas bárbara muy rico. Y la sangría tinto súper refrescante, buen macchiato.;4.0
Bárbaro cocina primitiva sede Laureles;5.0;988juanfernandog;Celebración de meses;Muy buena la comida un morrillo exquisito , la sangría rose estaba deliciosa y la Atencion muy buena;5.0
La Pampa Parrilla Argentina;5.0;Juan Carlos M;Excelente selección para una cena de aniversario;El ambiente del lugar, la atención, el acompañamiento en la selección del plato, la exquisitez del plato y la calidad del servicio fueron impecables;5.0
La Pampa Parrilla Argentina;5.0;familiab125;Todo excelente;El local en mall Inter plaza muy agradable, estuvimos en una mesa en el borde de la terraza. Las hamburguesas exquisitas, al igual que el bofe con ensaladas. La atención de Moisés muy buena. Recomendable.;5.0
La Pampa Parrilla Argentina;5.0;Claudia E;Experiencia excepcional! ;Espectacular para cena con tu pareja y amigos! Excepcional servicio y calidad de la comida, muy recomendado el RibEye!;5.0
La Pampa Parrilla Argentina;5.0;Daniel M;Maravillosa la comida, el lugar y el servicio. RECOMENDADISIMO;Sin duda es un lugar maravilloso, encantador para compartir y disfrutar un buen momento. La comida exquisita y el servicio inigualable. Para nosotros el valor agregado fue el excelente servicio de Lizeth Soto asesora de servicio. Su sonrisa desde el primer momento y su calidez...en el servicio hizo que la experiencia fuera inolvidable. Gracias a Lizeth y a la Pampa por su calidad. ☺️👏🏻Más;5.0
La Pampa Parrilla Argentina;5.0;amaliace2203;Una tarde en familia;Una música magnífica, un ambiente acogedor, y todo acompañado por las mejores personas. Un lugar súper recomendado para todas las personas amantes de la comida y la música. Muchas gracias a todos en la pampa, y gracias a Edwin!!!;5.0
La Pampa Parrilla Argentina;5.0;gloriac468;Tarde en familia;Edwin muy buena asesoría. Muy buena atención, el lugar muy agradable y los músicos espectaculares. La comida deliciosa;5.0
La Pampa Parrilla Argentina;5.0;Jfidelcano;Una tarde en Familia;Excelente atención. Edwin, nos atendió con cariño y de manera muy especial. Los cortes un punto de las carnes excelente .;5.0
La Pampa Parrilla Argentina;5.0;mariacamilar284;Visita;"Super buen ambiente, atención excelente y comida deliciosa, 100% recomendado 
Me atendió edwin una persona muy amable";5.0
La Pampa Parrilla Argentina;5.0;orlandorH4836YM;Excelente servicio;Excelente atención del Edwin, excelente calidad de los productos, el ambiente del restaurante muyyy agradable.;5.0
La Pampa Parrilla Argentina;5.0;V3789AMdanielr;Cena familiar;Excelente Atencion, la comida estaba muy deliciosa. Me atendio Edwin, una persona muy agradable. Y el ambiente maravilloso.;5.0
Ammazza Gin Garden;5.0;P4744XWsamanthap;Encuesta atención;Araceli nos atendió en excelencia, conocimiento 100% de todos los productos de la carta y las recomendaciones muy acertadas.;5.0
Ammazza Gin Garden;5.0;844marianal;Esta demasiado costoso;El lugar sigue sie do muy agradable, los gin tonics son ricos pero no valen lo que cobran, la comida rica, el servicio en general estabien, algunos meseros son mas serviciales que otros.;4.0
Ammazza Gin Garden;5.0;791nataliag;Excelente comida!;"Ambiente muy bonito y agradable, comida rica y con una muy buena atención. Es PET friendly y tiene mucho espacio para recibir tu mascota. 

Volveríamos seguro";5.0
Ammazza Gin Garden;5.0;303paulaandreal;Sano vida saludable;Deliciosa la comida, pero para el evento sano vida saludable, publican mucha opciones y solo había dos platos disponibles.;4.0
Ammazza Gin Garden;5.0;138lissethg;Menú Sanovida;Me fui por la opción de pasta y estuvo bastante buena. La atención fue rápida y lo mejor, y el lugar es agradable;5.0
Ammazza Gin Garden;5.0;sebas P;Comida restaurante amazza asesor leonado Herrera;"Atención impecable y comida muy rica
Recomendado 100/10
Muy buena ubicación 
Atención rápida 
Buena atencion";5.0
Ammazza Gin Garden;5.0;P3285HSmariac;Excelente comida;Excelente comida y servicio, rápido y eficaz. Ingredientes frescos y un lugar agradable para pasar el tiempo;5.0
Ammazza Gin Garden;5.0;Alejandra L;Todo rico y muchas opciones;La comida y el servicio fueron excelentes. Tienen muchas opciones para todos los gustos.  El ambiente es muy agradable. Recomendado.;5.0
Ammazza Gin Garden;5.0;Q2112EWjamesc;Comida Deliciosa y lugar muy agradable;Deliciosa comida, buen servicio y muy agradable el lugar. Volveré! Todo fue espectacular. Gracias!!!;5.0
Ammazza Gin Garden;5.0;Stay65758537617;Excelente;Delicioso todo y el servicio excelente, lo recomiendo mucho, el lugar es muy lindo y el personal es muy atento, la comida es deliciosa;5.0
Tika Dogs Gourmet;5.0;Q1660CIfranciscof;Muy rico todo;Excelente todo el servicio la atención los precios de verdad se los recomiendo una muy bonita experiencia así que si vienen a Medellin y pasan por Provenza no se lo pierdan;5.0
Tika Dogs Gourmet;5.0;SantiPadilla94;Deliciosos;Perritos fuera de lo común y súper deliciosos 🤤 la atención es excelente y el lugar es muy lindo y tranquilo 100% recomendado.;5.0
Tika Dogs Gourmet;5.0;Carolina S;Delicioso!;Deliciosos perros calientes, nos atendió su dueña y es muy amable. La comida artesanal y muy bien hecha;5.0
Tika Dogs Gourmet;5.0;heycamilo;Deliciosos perros calientes;De verdad, tienen que probarlos. Yo soy de los que prefiere los perros tradicionales, pero estos fusión, trayendo sabores de Italia, de España, del Mediterráneo, de México, de Perú y de muchos más lugares, están DELICIOSOS. Muy recomendados.;5.0
Tika Dogs Gourmet;5.0;Luisavargasm;Perros gourmet ;Es una fusión interesante de sabores, el pan es muy rico y los ingredientes son ricos. La atención es muy buena y siempre están atentos.;4.0
Tika Dogs Gourmet;5.0;hugosB2065PE;Que sorpresa!;Que delicia de Perros Calientes, nunca me imagine que pudieran existir tantas convinaciones de sabores en un solo producto, los felicito, y la atención ni se diga, absolutamente recomendado y la relación precio calidad y cantidad fenomenal.;5.0
Tika Dogs Gourmet;5.0;Lowinelle M;Los mejores dogs en Medellin;El lugar, la atención de su dueña, Alexandra y sobre todo los dogs hacen que comer dogs sea una experiencia inolvidable. Es la 3 vez que vengo y siempre la experiencia es increíble.;5.0
Tika Dogs Gourmet;5.0;K8115RLrenatos;Maravilloso;"Los mejores hot dogs que he probado en mucho tiempo, volvería varias veces. . Recomendados al 100%
Somos Mexicanos y nos encantó este lugar.";5.0
Tika Dogs Gourmet;5.0;jessicamH4366OW;Encantandor y riquísimo;Vine dos veces a éste lugar en mi visita a Medellín y está buenísimo, me encantó! La segunda vez nos tocó que nos atendiera Martika, la dueña del lugar, y los dos días atención súper y los hot dogs deliciosos, lo recomiendo muchísimo.;5.0
Tika Dogs Gourmet;5.0;celestes917;Muy buenos!!;La señora Tica te recibe como si fueras de la familia, es honestamente una persona muy amable y sin duda alguna volvería! Muy buenos hot dogs;5.0
Toro Restaurante (Laureles);5.0;Malkiav;Cena;Excelente comida, excelente atención, excelentes precios, una gran experiencia, 100% recomendado....;5.0
Toro Restaurante (Laureles);5.0;Daloga2467;Carne con mucho sabor;"Perfecto para reencuentro de amigos, disfrutar un buen corte de carne y tomar una cerveza, ademas la atención es muy agradable y siempre muy atentos.
Local acogedor y se puede reservar.";4.0
Toro Restaurante (Laureles);5.0;yorlenyf2023;Maravillosa comida;"Estuvimos en la sede de laureles, la comida y la atención de Andrés y sus compañeros es genial.

Lugar súper recomendado, seguro volveremos";5.0
Toro Restaurante (Laureles);5.0;desiertoenlac;Delicioso mejor que otros;la mejor experiencia que he tenido. Una excelente atención y los alimentos son deliciosos. La atención ha sido siempre excelente.;5.0
Toro Restaurante (Laureles);5.0;Ediliaojeda09;Compartir en familia;Toro Restaurante lo recomiendo al 100% tienen excelente servicio gracias por deleitar nuestro paladar no vamos muy contentos y volveremos pronto...;5.0
Toro Restaurante (Laureles);5.0;Ana J;FUE TERRIBLE NO VAYAN;Fue terrible tenían promoción de hamburguesas en el local nosotros pedimos una para cada uno pero yo no pude comerla toda le pedí al argentino que es el dueño que si me empacaba por favor la mitad que deje y el me dijo que no...que la promoción no era para llevar, lo más triste de todo fue que prefirió botar el restante que empacarmelaMás;1.0
Toro Restaurante (Laureles);5.0;JAVIER P;Terrible;Muy mal preparada la carne que pedimos, algunas partes estaban en descomposición, no lo recomiendo para nada, muy mala experiencia;1.0
Toro Restaurante (Laureles);5.0;S3477YEadrianac;Almuerzo;Deliciosa comida.. Recomendado en especial el tomahawk.. Al 101%.. Y excelente servicio.. La atención super..;5.0
Toro Restaurante (Laureles);5.0;Monjeoscuro;Fin de semana en familia;Excelente comida y servicio el lugar súper bonito aseado y cómodo la mejor parrilla para disfrutar con tus seres queridos ... Excelente restaurante;5.0
Toro Restaurante (Laureles);5.0;eli0enayc;Reunion de amigos;Muy buen restaurante, atencion, platos bien presentados, muyy rico y el lugar con muy buena vista y muy acogedor. Vale la pena conocerlo . Volveremos quedamos complacidos con atencion y calidad que nos brinda el restaurante.;5.0
La Pampa Parrilla Argentina;5.0;Frenesys R;Comida exquisita y muy buen ambiente;Recomiendo el postre de Alfarol y la carne de ojo de bife, música muy animada, todas sus entradas exelente;5.0
La Pampa Parrilla Argentina;5.0;CRISTINA C;Celebración cumpleaños!;Pasamos un rato agradable en familia, los platos deliciosos (atún, Baby Beef, lomito de cerdo), todos en su punto y además, cómo sorpresa, tuvieron un detalle por la celebración del cumpleaños. Recomendado!!!;5.0
La Pampa Parrilla Argentina;5.0;saragD5723GZ;Celebración cumpleaños y día de la mujer;Todo estuvo excelente , la comida deliciosa y la música genial. Pasamos un rato muy agradable en familia.;5.0
La Pampa Parrilla Argentina;5.0;alejandrarJ7620NZ;Celebración grados.;Excelente servicio. Deliciosa comida. Perfecto para celebrar fechas especiales, muy detallista todo el personal.;5.0
La Pampa Parrilla Argentina;5.0;rangelg2021;Cena;Excelente la comida y el servicio, gracias por todo. La calidad de la carne se siente al gusto y contamos con buena asesoría.;5.0
La Pampa Parrilla Argentina;5.0;Happiness768225;Cumpleaños;"Excelente sitio, acogedor, buen servicio, los platos en su punto.
El postre super recomendado.........";5.0
La Pampa Parrilla Argentina;5.0;josedanielr76;Excelente servicio 👍;"Excelente servicio por parte del personal, muy amables, son muy profesionales, ni hablar de la comida un muy buen sabor, la carne excelente punto de cocción 10/10 en todo.
Lo recomiendo";5.0
La Pampa Parrilla Argentina;5.0;ALBERTO MAURICI... B;No es como lo pintan;Muy buena calificación como uno de los mejores de Medellin q no corresponde a la realidad hay mejores sitios de carne en la ciudad;3.0
La Pampa Parrilla Argentina;5.0;ricardoegasz;Super experiencia;Excelente servicio y calidad de los productos recomendado 100%. Volveria seguro a este restaurante. Para carnes y salmon;5.0
La Pampa Parrilla Argentina;5.0;priscillav965;Cumpleaños;"Todo super rico, la atención 10/10 la música en vivo excelente! El postre por el cumpleaños muy delicioso! 
Sin dudas un lugar para pasar en familia y pareja o cualquier ocasión ❤️";5.0
The Market;5.0;R9649ZEgiovannia;Gracias Aquiles por tu atención.;"Todos siempre muy atentos cuando visito y tratan a mis colegas como familia. 
Nos vemos pronto!!! 
Gio";5.0
The Market;5.0;felixapa;The market, Aquiles voy con mi review;En varias ocasiones tuve la oportunidad de visitar the market a la hora del desayuno, siempre nos atendió Aquiles quien fue muy amable con su servicio y siempre nos dio muy buenas recomendaciones;5.0
The Market;5.0;197blairc;Bueno servicio;Joan es un servidor excelente! Él hizo nuestra noche. El rib eye era bueno, y el ceviche tambien. Gracias por todo;5.0
The Market;5.0;Ambassador824021;The market;Excelente servicio y deliciosa la comida. El ambiente muy agradable y la atención la de Joan fue muy buena.;5.0
The Market;5.0;183alvarod;Aquiles pongo mi review!😀;Visité el Hotel Marriott Medellin en viaje de negocios. Debido al poco tiempo entre mis reuniones hice varios tiempos de comida en el restaurante The Market. Varias veces tuve la atención de AQUILES, quien siempre excedió mis expectativas!;5.0
The Market;5.0;RonCC97;Super recomendado;Todo súper recomendado, nos atendió Aquiles y fue una excelente persona, la comida deliciosa y las bebidas ni hablar!;5.0
The Market;5.0;marlyjulietp;Recomendadidididiisimo;La comida súper variada y muy buenas opciones pero lo mejor de todo la súper atención de Aquiles ☺️ de veras súper;5.0
The Market;5.0;J2362MNmauriciog;Celebración de aniversario de bodas;Me voy muy sorprendido de la atención y calidad de la comida de este lugar, sobre todo la amabilidad de Aquiles, que gran anfitrión;5.0
The Market;5.0;117mariacarolinaa;El Mejor Brunch de la ciudad y más si los atiende Aquiles;"Excelente atención y variedad gastronómica 
La atención de Aquiles extraordinaria, al igual que del equipo del lugar. Buen parche los domingos !";5.0
The Market;5.0;115emiliaj;EXCELENTE SERVICIO AQUI LES VOLVEMOS;"Muy buen servicio, nos atendió Aquiles con muy buena actitud para acompañar la buena comida.

Que gane Aquiles!";5.0
Malanga del Trópico;5.0;Loregiraldo_12345678;Brunch;Un sitio hermoso, la atención de Johan fue muy buena y especial, la comida rica. Muy Recomendado para venir en pareja o familia;5.0
Malanga del Trópico;5.0;miguelangelmF730UF;Malanga del tropico;"Excelente comida, ambiente y música .

Muy recomendado. La comida es de excelente nivel.
Lugar perfecto.";5.0
Malanga del Trópico;5.0;alzatev2023;Brunch;"Delicioso 🤤 me encanto, lo recomiendo mucho 
Exclente servicio de Johan vengan es muy bueno 
………………….";5.0
Malanga del Trópico;5.0;andres9320;Cena;"Excelente servicio y atención de Jhoan.
Muy buena comida y la música de excelente elección.
Muy recomendado";5.0
Malanga del Trópico;5.0;Maryte_Ruiz;Rico pero…;"Los platos tienen buenos sabores pero son muy cargados, al punto que empachan. 
El personal muy atento, amables, conocen la carta y hacen buenas sugerencias. 
La música en vivo se disfruta.";5.0
Malanga del Trópico;5.0;252eliecerg;Excelente servicio;"De parte de Mónica un muy buen servicio y atencion en el restaurante.

100 caracteres es demasiado no debetia ser tan alto ese minimo.";5.0
Malanga del Trópico;5.0;Crucero09;Excelente celebración de cumpleaños!;"El lugar es muy agradable, la comida deliciosa y la música en vivo súper!
Todo me gustó, volveré con mis amigos";5.0
Malanga del Trópico;5.0;richardbM1122MZ;Excelente servicio;Muy buena atención y muy buen lugar para compartir con familia y amigos  , muy recomendado porque la comida es deliciosa .;5.0
Malanga del Trópico;5.0;katherinnegs;Delicioso;"De los mejores restaurantes que he visitado, la comida es deliciosa, el lugar es muy bonito, la atención es muy buena. 
Recomiendo reservar pues suele estar lleno";5.0
Malanga del Trópico;5.0;Anamariasotoac;Excelente lugar y excelente servicio;Excelente servicio del señor giovanni , muy atento , educado y rápido! Todo lo que nos recomendó delicioso, el lugar hermoso y la música en vivo genial;5.0
Betty's Bowls;5.0;B7849EGmanuelam;Almuerzo;Delicioso, saludable, buen servicio, ambiente ameno y una porción considerable. Súper recomendado el lugar;5.0
Betty's Bowls;5.0;kathjau;dulce cafetería con un personal cálido;elegí la cafetería por recomendación de un blog y quedé encantada! el personal te recibe muy amable, cálido y con una sonrisa en la cara. Andrew mi camarero era muy atento! el menú es genial, los tazones son un sueño, la tostada de aguacate se...derrite en la boca y el café está disponible con todas las alternativas de leche! sin duda volveré! muchas gracias!Más;5.0
Betty's Bowls;5.0;969luisafernandaj;Brunch;Un lugar hermoso y demasiado acogedor, el bagel estaba espectacular  , vale resaltar el excelente servicio de Andrés 10/10;5.0
Betty's Bowls;5.0;val_tobon27;Desayuno de Domingo;Estuvimos en Betty Bowls esperando un rico desayuno fuera de casa, pero en cambio tuvimos toda una experiencia. Además de la buena preparación de los alimentos, los ingredientes que se notaban frescos y los platos deliciosos que pedimos, salimos aprendiendo sobre el café y sus...diversos procesos de destilación natural. Más que eso, la atención del personal en general, pero en específico la de Federico, dueño del lugar, fue increíblemente agradable. Lo recomendaremos a amigos locales y extranjeros! Recomendamos en especial el Bagle Frito y el café Geisha. Muy contentos!!Más;5.0
Betty's Bowls;5.0;320rodrigog;Comida vegetariana;Excelente café y comida deliciosa, ambiente del lugar, espectacular, comida vegetariana deliciosa, especialmente las tostadas;5.0
Betty's Bowls;5.0;sinayasminem;Extraordinaria! El mejor desayuno en Medellín;En Bettys bowls en Medellín comimos un desayuno súper delicioso. Por un lado, la tostada de aguacate más deliciosa y, por otro, el bowl más bonito que he visto en mi vida. El servicio fue muy amable y atento. Muy recomendable.;5.0
Betty's Bowls;5.0;isidorasoler;Los mejores bowls saludables de Medellín!;"Exquisitos bowls saludables y coloridos. 
Muy nutritivos para el cuerpo!! 
Definitivamente volvería mil veces.";5.0
Betty's Bowls;5.0;katrinm805;Imperdible de visitar en Medellín;Desde que llegas el Atendimiento es excelente, la comida espectacular, hay un buen ambiente en general, todo es 10/10 regresaría sin pensarlo dos veces;5.0
Betty's Bowls;5.0;carlostC444MK;Extrañamos el barista que tenian;"hola chicos BETTYS....hoy estuvimos en su lugar.....definitivamente el nmejor de Medellín y todo COLOMBIA...gracias por existir.

acá les dejamos algunos puntos

1. Recibimiento:  estuvo muy colapsado y es entendible, pero el mesero nos miro y nunca nos hablo...de pronto si nos hicieran esperar en la...recepción del hostal seria mas cómodo para la espera de mesas,  pero el mesero a pesar que le dijimos nos IGNORO.

2. tiempo de entrega:  la comida salió en menos tiempo de lo esperado pues estaban muy llenos....FELICITACIONES AL EQUIPO DE COCINA.

3. CAFE: nos extraño mucho no ver el barista que siempre nos hacia café con su explicación, le preguntamos al mesero y nos respondió que no conocía del barista, lo cual nos pareció algo extraño, también le pedimos un café especial y nos dijo que tampoco conocía, nos pusimos triste pues estábamos con un amigo de Canadá y no pudo disfrutar de ese café tan exótico que ustedes manejaban. creemos a manera de titulo personal que no deberían sacar del mercado los café exóticos que ustedes vendían y sobre todo vuelvan a contratar el barista que siempre nos trato super bien, educado y talentoso....aunque el americano estaba muy rico y capuchinos de los mejores.

4. ya no se puede usar mas el jardín? ese lugar es muy lindo y tranquilo para los clientes que queremos tranquilidad....o habrá que reservar?

y por ultimo los felicitamos pues somos clientes desde que eran mas pequeños....sigan triunfando en todo son 10 de 10Más";5.0
Betty's Bowls;5.0;Borisrenzo;Muy bien;"Gentiles y buen servicio, rápido y comida buena.
Lugar tranquilo con buenas vibras.
Lo aconsejo vivamente.";5.0
Pokawa;5.0;Mikenvs;Delicioso;Delicioso! Comida rica con un toque colombiano, y las bebidas muy ricas y refrescantes, la atención de Atenas es excepcional nos explico casi todo el menú 😁;5.0
Pokawa;5.0;anyerludm;Fresh food;Ingredientes frescos .. arme mi propio bowl se lo recomiendo me resultó delicioso, pero tienen nueva sede con una dirección diferente a la que aparece en esta página ahora están en la calle 8 CR 43a-63;5.0
Pokawa;5.0;juanmanuelcG4504SF;Almuerzos;Una comida deliciosa y saludable, cumplieron mis expectativas tanto en cantidad como en el sabor del atún. Simplemente excelente!;5.0
Pokawa;5.0;CorreaFJ;Delicious!! Muy rico!!;"Great food and great service. FYI, Poke bowls are Hawaiian and not Japanese. Highly recommend it

Súper excelente servicio y comida. El Poke Bowl es hawaiano para que lo sepan. No es japonés. Delicioso el de salmón con piña. Se los recomiendo. Delicioso 😋";5.0
Pokawa;5.0;sebaso896;Parche de sabado;Lugar relajado para conversar y comer rico, comida saludable para antes de la fiesta sienta bien jaja la atención estuvo excelente brindan buena conversación e información;5.0
Pokawa;5.0;706camilorodriguez;Básico ;Servicio regular, la comida igual, platos básicos,  altas expectativas.  Debe estar al pendiente en todo momento, ojalá se mejore.;1.0
Pokawa;5.0;norelisp40;Para empezar a comer saludable es una super opción.. restaurant con buena comida y excelente atención;Me encantó su falafel buena combinación con piña.. el jugo natural sin azúcar excelente sabor.. volveré en mis próximas vacaciones;5.0
Pokawa;5.0;juanrZ4346LK;Deliciosos pokes;Es un restaurant exelente para pasar el rato comer rico y beber una cerveza .. combiene el súper proteína con pollo y me pareció delicioso.. además tienen una muy bien atención.;5.0
Pokawa;5.0;P1040HGalbab;Comida rica y saludable;El restaurante es acojedor con una linda terraza, buena música y excelente atención. Me recomendaron sitios para visitar acá en Medellín, volveré.;5.0
Pokawa;5.0;CooliotheKing;Excelente Poke y servicio;"Riquisimo Poke de salmon flambeado y muy esmerada atencion de Diane. Gracias! 
Lugar muy recomendable.";5.0
Restaurante Madurando;5.0;975stivenr;Cumpleaños;Super me encanta el lugar la comida y cócteles muy buenos excelente servicio tiene una vista espectacular 10/10 visitenlo;5.0
Restaurante Madurando;5.0;788anamariaz;Cena de cumpleaños;La comida estuvo muy rica, el plato de morrillo estuvo exquisito nos atendió Mariana y estuvo todo el tiempo muy atenta;5.0
Restaurante Madurando;5.0;Dainy M;Hola buenas tarde que servicio tan bueno tiene la comida muy rica y la atención ni se diga el ambiente el mejor los feli;Hola buenas tarde que servicio tan bueno tiene la comida muy rica y la atención ni se diga el ambiente el mejor los felicito;5.0
Restaurante Madurando;5.0;Ricardo R;Excelente restaurante de carnes;La atención es excelente, siempre están pendientes de ti. Los platos son exquisitos, y no se demoran en salir de la cocina. En general muy recomendado.;5.0
Restaurante Madurando;5.0;X7614LCsantiagor;Excelente servicio y comida;El restaurante es bastante elegante, rústico y con muy buena presentación. La comida ni hablar, excelente de principio a fin. 100% recomendado!;5.0
Restaurante Madurando;5.0;W4599OXdianap;Almuerzo;"Aron nos atendió súper bien ❤️ me encanto este restaurante súper bien servicio ❤️❤️❤️❤️❤️
Volveré pronto, la carne súper rica y el postre delicioso";5.0
Restaurante Madurando;5.0;100camilop;Celebrando cumpleaños;Deliciosa toda la comida y la atención de de Mariana y su equipo es espectacular. En un lugar privilegiado.;5.0
Restaurante Madurando;5.0;jhonwilliamsmj;Uno de los mejores restaurantes de Medellín;"Excelentes cortes y perfecta maduración y sabor, una excelente atención, gracias una perfecta experiencia para compartir
Se guardó el borrador";5.0
Restaurante Madurando;5.0;feliper476;Que buena carne y servicio;Excelente sitio para ir a almorzar y/o comer! Deliciosa carne, muy rico el postre y excelente la atención!;5.0
Restaurante Madurando;5.0;camilob847;Madurando;Excelente atención y buena carne, el sitio es muy acogedor, ofrece también una vista a la ciudad de medellin;4.0
Cala Roca;5.0;dianalX4987ZL;Recomendado!;Gracias à la recomendacion de Laura Agudelo cenamos delicioso, seleccionamos platos muy ricos. Super la atencion de Laura tmb. Recomendado!!;5.0
Cala Roca;5.0;jorgelazaro19902013;Excelente ;Nos gustó la atención de seleys muy profesional y carismática atención de primera cuando vengan pregunté por seleys;5.0
Cala Roca;5.0;W3266IAmargaritar;Viaje de turismo;Me encanta Colombia, amo a su gente, Seleys es excelente ser humano. Pronto vuelvo en Mayo 2023. La comida es excelente.;5.0
Cala Roca;5.0;mqueliz;Buenísimo;Las atenciones fueron espectaculares. La comida muy rica. El ambiente es cálido y lindo. Nos atendió Diego. Pedimos varios platos diferentes y todo fue excelente.;5.0
Cala Roca;5.0;jdreyespaez;Excelente lugar para celebrar aniversario;Vine con mi novia a celebrar nuestro aniversario, el restaurante queda en el mismo lugar del 23hotel. Así que además de tener una excelente estadía, el desayuno a l habitación fue magnífica! Laura Agudelo nos atendió ⭐️⭐️⭐️⭐️⭐️;5.0
Cala Roca;5.0;DanielArquero;Insuperable experiencia ;"Excelente experiencia, la comida espectacular, la atencion de 10, ambiente de 10.
De los mejores restaurantes en Medellín, recomendado totalmente";5.0
Cala Roca;5.0;Mantonie0330;Maravilloso;"Absurdamente delicioso. La musica, la pizza, la decoración y excelente la atención. Laura y sus recomendaciones fueron excelentes. 
Must to go para conocer pizzas de Medellín";5.0
Cala Roca;5.0;sofiafaristizabal;Excelente servicio de mesera y platos;La mesera Laura fue extremadamente cálida y atenta, nos encantó el servicio y la pizza, la música en vivo un plus!;5.0
Cala Roca;5.0;360julianaq;Excelente sitio para conocer;Decoración estupenda, muy sobrio y elegante. Muy buena atención. La comida deliciosa y la banda en vivo excelente, todo perfecto;5.0
