f_property_type,f_room_type,f_room_type2,f_cancellation_policy,f_bed_type,f_neighbourhood_cleansed,usd_price_day,n_accommodates,n_bathrooms,n_review_scores_rating,n_number_of_reviews,n_guests_included,n_reviews_per_month,n_extra_people,n_minimum_nights,n_beds,n_days_since,d_24hourcheckin,d_airconditioning,d_breakfast,d_buzzerwirelessintercom,d_cabletv,d_carbonmonoxidedetector,d_cats,d_dogs,d_doorman,d_doormanentry,d_dryer,d_elevatorinbuilding,d_essentials,d_familykidfriendly,d_fireextinguisher,d_firstaidkit,d_freeparkingonpremises,d_freeparkingonstreet,d_gym,d_hairdryer,d_hangers,d_heating,d_hottub,d_indoorfireplace,d_internet,d_iron,d_keypad,d_kitchen,d_laptopfriendlyworkspace,d_lockonbedroomdoor,d_lockbox,d_otherpets,d_paidparkingoffpremises,d_petsallowed,d_petsliveonthisproperty,d_pool,d_privateentrance,d_privatelivingroom,d_safetycard,d_selfcheckin,d_shampoo,d_smartlock,d_smokedetector,d_smokingallowed,d_suitableforevents,d_tv,d_washer,d_washerdryer,d_wheelchairaccessible,d_wirelessinternet,price,id,neighbourhood_cleansed,cancellation_policy,room_type,property_type,ln_price,n_accommodates2,ln_accommodates,ln_accommodates2,ln_beds,f_bathroom,ln_number_of_reviews,f_number_of_reviews,ln_days_since,ln_days_since2,ln_days_since3,n_days_since2,n_days_since3,ln_review_scores_rating,f_minimum_nights,flag_days_since,flag_review_scores_rating,flag_reviews_per_month
Apartment,Entire home/apt,Entire/Apt,moderate,Real Bed,Hackney,95,5,1,100,5,5,0.25,10,5,3,600,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,95,6699918,Hackney,moderate,Entire home/apt,Apartment,4.55387689160054,25,1.6094379124341,2.59029039398023,1.09861228866811,2,1.79175946922805,2,6.39859493453521,40.9420171362596,261.971383457724,360000,216000000,4.60517018598809,3,0,0,0
Apartment,Private room,Private,moderate,Real Bed,Hackney,25,2,1,93,6,1,1.67,0,1,1,107,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,25,14370540,Hackney,moderate,Private room,Apartment,3.2188758248682,4,0.693147180559945,0.480453013918201,0,2,1.94591014905531,2,4.68213122712422,21.9223528280118,102.643332748069,11449,1225043,4.53259949315326,1,0,0,0
House,Entire home/apt,Entire/Apt,moderate,Real Bed,Hackney,200,6,2,96,0,1,0.52,0,5,3,405,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,200,3746537,Hackney,moderate,Entire home/apt,House,5.29831736654804,36,1.79175946922805,3.2104019955684,1.09861228866811,3,0,1,6.00635315960173,36.0762782778577,216.686868020882,164025,66430125,4.56434819146784,3,1,1,1
House,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,175,6,1,98,19,2,1.16,0,2,4,492,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,175,7847341,Hackney,strict,Entire home/apt,House,5.16478597392351,36,1.79175946922805,3.2104019955684,1.38629436111989,2,2.99573227355399,2,6.20050917404269,38.4463140173876,238.386722772938,242064,119095488,4.58496747867057,2,0,0,0
Apartment,Entire home/apt,Entire/Apt,moderate,Real Bed,Hackney,95,2,1,94,24,1,1.94,0,2,1,371,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,95,8886505,Hackney,moderate,Entire home/apt,Apartment,4.55387689160054,4,0.693147180559945,0.480453013918201,0,2,3.2188758248682,2,5.91889385427315,35.0333044581524,207.358410452238,137641,51064811,4.54329478227,2,0,0,0
House,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,80,2,1,98,53,2,1.29,10,3,1,1230,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,80,1696001,Hackney,strict,Entire home/apt,House,4.38202663467388,4,0.693147180559945,0.480453013918201,0,2,3.98898404656427,3,7.11558212618445,50.6315089944757,360.272660422838,1512900,1860867000,4.58496747867057,3,0,0,0
Apartment,Private room,Private,flexible,Real Bed,Hackney,150,2,1,96,0,1,0.52,0,5,1,405,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,150,4151158,Hackney,flexible,Private room,Apartment,5.01063529409626,4,0.693147180559945,0.480453013918201,0,2,0,1,6.00635315960173,36.0762782778577,216.686868020882,164025,66430125,4.56434819146784,3,1,1,1
Apartment,Private room,Private,flexible,Real Bed,Hackney,30,2,1,100,1,1,0.23,15,1,1,128,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,30,13629629,Hackney,flexible,Private room,Apartment,3.40119738166216,4,0.693147180559945,0.480453013918201,0,2,0.693147180559945,2,4.85981240436167,23.6177766055876,114.777963711277,16384,2097152,4.60517018598809,1,0,0,0
Apartment,Private room,Private,moderate,Real Bed,Hackney,29,2,1,100,7,1,0.65,0,2,1,319,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,29,11732568,Hackney,moderate,Private room,Apartment,3.36729582998647,4,0.693147180559945,0.480453013918201,0,2,2.07944154167984,2,5.76832099579377,33.2735271105153,191.932385035698,101761,32461759,4.60517018598809,2,0,0,0
Apartment,Private room,Private,flexible,Real Bed,Hackney,40,2,1,96,0,1,0.52,0,2,1,405,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,40,16687408,Hackney,flexible,Private room,Apartment,3.68887945411394,4,0.693147180559945,0.480453013918201,0,2,0,1,6.00635315960173,36.0762782778577,216.686868020882,164025,66430125,4.56434819146784,2,1,1,1
Apartment,Private room,Private,strict,Real Bed,Hackney,38,2,1,92,10,1,0.88,0,1,1,339,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,38,12019448,Hackney,strict,Private room,Apartment,3.63758615972639,4,0.693147180559945,0.480453013918201,0,2,2.39789527279837,2,5.82894561761021,33.9766070130572,198.047794550024,114921,38958219,4.52178857704904,1,0,0,0
House,Private room,Private,flexible,Real Bed,Hackney,30,2,3,100,1,1,0.18,5,2,1,169,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,30,2119021,Hackney,flexible,Private room,House,3.40119738166216,4,0.693147180559945,0.480453013918201,0,3,0.693147180559945,2,5.13579843705026,26.3764255860079,135.464005299592,28561,4826809,4.60517018598809,2,0,0,0
Apartment,Private room,Private,moderate,Real Bed,Hackney,110,2,1.5,96,0,1,0.52,0,2,1,405,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,110,502289,Hackney,moderate,Private room,Apartment,4.70048036579242,4,0.693147180559945,0.480453013918201,0,2,0,1,6.00635315960173,36.0762782778577,216.686868020882,164025,66430125,4.56434819146784,2,1,1,1
House,Entire home/apt,Entire/Apt,flexible,Real Bed,Hackney,190,4,1,96,11,4,0.26,15,2,2,1251,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,190,1257914,Hackney,flexible,Entire home/apt,House,5.24702407216049,16,1.38629436111989,1.92181205567281,0.693147180559945,2,2.484906649788,2,7.13249755166004,50.8725213244365,362.848133793317,1565001,1957816251,4.56434819146784,2,0,0,0
Apartment,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,71,6,1,96,0,1,0.52,0,4,2,405,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,71,13342662,Hackney,strict,Entire home/apt,Apartment,4.26267987704132,36,1.79175946922805,3.2104019955684,0.693147180559945,2,0,1,6.00635315960173,36.0762782778577,216.686868020882,164025,66430125,4.56434819146784,3,1,1,1
Apartment,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,115,5,1,95,4,4,0.18,20,3,2,656,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,115,5331886,Hackney,strict,Entire home/apt,Apartment,4.74493212836325,25,1.6094379124341,2.59029039398023,0.693147180559945,2,1.6094379124341,2,6.48768401848461,42.0900439237006,273.066905301108,430336,282300416,4.55387689160054,3,0,0,0
House,Private room,Private,flexible,Real Bed,Hackney,35,2,1,100,1,1,0.52,0,1,1,57,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,35,16490286,Hackney,flexible,Private room,House,3.55534806148941,4,0.693147180559945,0.480453013918201,0,2,0.693147180559945,2,4.06044301054642,16.4871974418953,66.9453256164424,3249,185193,4.60517018598809,1,0,0,0
Apartment,Private room,Private,flexible,Couch,Hackney,45,2,1,96,0,1,0.52,10,1,1,405,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,45,2346751,Hackney,flexible,Private room,Apartment,3.80666248977032,4,0.693147180559945,0.480453013918201,0,2,0,1,6.00635315960173,36.0762782778577,216.686868020882,164025,66430125,4.56434819146784,1,1,1,1
Apartment,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,79,2,1,92,10,1,0.85,0,3,1,353,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,79,11001281,Hackney,strict,Entire home/apt,Apartment,4.36944785246702,4,0.693147180559945,0.480453013918201,0,2,2.39789527279837,2,5.86929691313377,34.4486462545216,202.189333123301,124609,43986977,4.52178857704904,3,0,0,0
House,Entire home/apt,Entire/Apt,flexible,Real Bed,Hackney,85,2,1,96,0,1,0.52,0,2,1,405,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,85,16733411,Hackney,flexible,Entire home/apt,House,4.44265125649032,4,0.693147180559945,0.480453013918201,0,2,0,1,6.00635315960173,36.0762782778577,216.686868020882,164025,66430125,4.56434819146784,2,1,1,1
House,Entire home/apt,Entire/Apt,flexible,Real Bed,Hackney,100,2,1.5,100,1,1,0.04,0,1,1,742,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,100,5323290,Hackney,flexible,Entire home/apt,House,4.60517018598809,4,0.693147180559945,0.480453013918201,0,2,0.693147180559945,2,6.61069604471776,43.701302195647,288.896025573779,550564,408518488,4.60517018598809,1,0,0,0
Apartment,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,121,6,1.5,96,0,1,0.52,7,1,4,405,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,1,0,1,1,121,17258516,Hackney,strict,Entire home/apt,Apartment,4.79579054559674,36,1.79175946922805,3.2104019955684,1.38629436111989,2,0,1,6.00635315960173,36.0762782778577,216.686868020882,164025,66430125,4.56434819146784,1,1,1,1
Apartment,Entire home/apt,Entire/Apt,moderate,Real Bed,Hackney,69,4,1,95,73,1,1.61,0,3,2,1357,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,69,1188836,Hackney,moderate,Entire home/apt,Apartment,4.23410650459726,16,1.38629436111989,1.92181205567281,0.693147180559945,2,4.30406509320417,3,7.21376830811864,52.0384532032169,375.393344520881,1841449,2498846293,4.55387689160054,3,0,0,0
Apartment,Private room,Private,flexible,Real Bed,Hackney,30,1,1,96,0,1,0.52,0,1,2,405,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,30,14242650,Hackney,flexible,Private room,Apartment,3.40119738166216,1,0,0,0.693147180559945,2,0,1,6.00635315960173,36.0762782778577,216.686868020882,164025,66430125,4.56434819146784,1,1,1,1
House,Private room,Private,flexible,Real Bed,Hackney,60,3,1,100,1,1,0.48,0,4,3,61,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,60,16424347,Hackney,flexible,Private room,House,4.0943445622221,9,1.09861228866811,1.20694896081258,0,2,0.693147180559945,2,4.12713438504509,17.0332382322215,70.2984631968661,3721,226981,4.60517018598809,3,0,0,0
Apartment,Private room,Private,strict,Real Bed,Hackney,29,1,1,93,125,1,4.15,0,2,1,902,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,29,3639077,Hackney,strict,Private room,Apartment,3.36729582998647,1,0,0,0,2,4.83628190695148,3,6.80572255341699,46.3178594740886,315.226500848803,813604,733870808,4.53259949315326,2,0,0,0
Apartment,Private room,Private,flexible,Real Bed,Hackney,73,2,1,96,0,1,0.52,0,1,1,405,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,73,6788203,Hackney,flexible,Private room,Apartment,4.29045944114839,4,0.693147180559945,0.480453013918201,0,2,0,1,6.00635315960173,36.0762782778577,216.686868020882,164025,66430125,4.56434819146784,1,1,1,1
Apartment,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,55,2,1,93,3,2,0.87,0,5,1,103,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,55,14572278,Hackney,strict,Entire home/apt,Apartment,4.00733318523247,4,0.693147180559945,0.480453013918201,0,2,1.38629436111989,2,4.64439089914137,21.5703668240272,100.181215368653,10609,1092727,4.53259949315326,3,0,0,0
House,Private room,Private,strict,Real Bed,Hackney,66,2,0.5,96,0,1,0.52,8,1,1,405,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,66,17339749,Hackney,strict,Private room,House,4.18965474202643,4,0.693147180559945,0.480453013918201,0,1,0,1,6.00635315960173,36.0762782778577,216.686868020882,164025,66430125,4.56434819146784,1,1,1,1
Apartment,Private room,Private,strict,Real Bed,Hackney,33,2,1.5,84,12,1,2.02,0,2,1,176,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,33,14482740,Hackney,strict,Private room,Apartment,3.49650756146648,4,0.693147180559945,0.480453013918201,0,2,2.56494935746154,2,5.17614973257383,26.7925260540241,138.682126569514,30976,5451776,4.43081679884331,2,0,0,0
House,Private room,Private,strict,Real Bed,Hackney,39,2,1.5,70,4,1,0.43,0,2,1,280,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,39,13171330,Hackney,strict,Private room,House,3.66356164612965,4,0.693147180559945,0.480453013918201,0,2,1.6094379124341,2,5.63835466933375,31.7910433771976,179.249177868814,78400,21952000,4.24849524204936,2,0,0,0
House,Entire home/apt,Entire/Apt,flexible,Real Bed,Hackney,100,6,1,96,0,4,0.52,20,2,4,405,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,100,16992311,Hackney,flexible,Entire home/apt,House,4.60517018598809,36,1.79175946922805,3.2104019955684,1.38629436111989,2,0,1,6.00635315960173,36.0762782778577,216.686868020882,164025,66430125,4.56434819146784,2,1,1,1
Apartment,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,132,7,1.5,96,0,1,0.52,0,3,2,405,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,132,17147365,Hackney,strict,Entire home/apt,Apartment,4.88280192258637,49,1.94591014905531,3.78656630819647,0.693147180559945,2,0,1,6.00635315960173,36.0762782778577,216.686868020882,164025,66430125,4.56434819146784,3,1,1,1
Apartment,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,66,2,1,96,0,1,0.52,0,2,1,405,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,66,16980433,Hackney,strict,Entire home/apt,Apartment,4.18965474202643,4,0.693147180559945,0.480453013918201,0,2,0,1,6.00635315960173,36.0762782778577,216.686868020882,164025,66430125,4.56434819146784,2,1,1,1
Apartment,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,95,4,1,90,15,1,1.07,7,2,2,420,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,95,7283114,Hackney,strict,Entire home/apt,Apartment,4.55387689160054,16,1.38629436111989,1.92181205567281,0.693147180559945,2,2.77258872223978,2,6.04263283368238,36.5134115626964,220.637139578507,176400,74088000,4.49980967033027,2,0,0,0
Apartment,Private room,Private,strict,Real Bed,Hackney,39,2,2,50,2,2,0.23,10,1,1,257,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,39,12794205,Hackney,strict,Private room,Apartment,3.66356164612965,4,0.693147180559945,0.480453013918201,0,3,1.09861228866811,2,5.55295958492162,30.8353601517729,171.227508709297,66049,16974593,3.91202300542815,1,0,0,0
Apartment,Private room,Private,strict,Real Bed,Hackney,33,2,1,71,11,1,3.33,0,2,1,98,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,33,16093430,Hackney,strict,Private room,Apartment,3.49650756146648,4,0.693147180559945,0.480453013918201,0,2,2.484906649788,2,4.59511985013459,21.1151264371009,97.0265366292242,9604,941192,4.26267987704132,2,0,0,0
