"timestamp","session_id","respondent_id","segment","variant","intent_0_10"
"2025-12-04 17:14:22.342426","DIuSCA7KdL0mpJmu","S027","Just browsing / curious","B",4
"2025-12-04 17:38:13.817525","kgC6IKbvJiXiog8I","S028","Just browsing / curious","B",4
"2025-12-04 17:21:04.150638","ZJmuBwfX749ErAJi","S029","Just browsing / curious","A",5
"2025-12-04 16:57:24.322753","wf5XP7oduJo7GSPn","S030","Busy professional","B",6
"2025-12-04 17:41:11.765503","4dw0Ay3yJh9bL2pb","S031","Just browsing / curious","A",7
"2025-12-04 16:55:07.676353","XAI7g4iBv1gSM7Oh","S032","Just browsing / curious","B",5
"2025-12-04 17:13:39.839729","pti4ssJbT0LtZNP6","S033","Just browsing / curious","A",4
"2025-12-04 16:58:11.525229","49z7Mu4ClbI9ZstX","S034","Budget-conscious student","B",5
"2025-12-04 17:01:27.129907","0VKd6x9ZQeYihJlh","S035","Budget-conscious student","B",6
"2025-12-04 17:07:07.085095","OZ2GPUAJhE0CeM5I","S036","Budget-conscious student","A",4
"2025-12-04 16:59:12.823869","wBD9XxQph4Xy5sRG","S037","Budget-conscious student","A",5
"2025-12-04 17:02:00.554671","X8ljKtNCEdsaXjgH","S038","Busy professional","A",7
"2025-12-04 17:24:04.882767","nHOocb52rHHaiazl","S039","Budget-conscious student","A",6
"2025-12-04 17:35:36.488449","aq1CX5CzSVLZrs3E","S040","Busy professional","B",7
"2025-12-04 16:43:41.833733","4LuWGLU8ireXasgY","S041","Just browsing / curious","A",3
"2025-12-04 16:57:15.747984","EoKbZiP6ae8VJnia","S042","Just browsing / curious","B",4
"2025-12-04 17:04:40.746002","Rw8EmTg97hnBoN6C","S043","Budget-conscious student","B",9
"2025-12-04 17:34:14.806518","bEf2uykJZxrzp0pk","S044","Just browsing / curious","A",2
"2025-12-04 17:08:25.617922","FTkBUytbwUHcNwn8","S045","Budget-conscious student","A",5
"2025-12-04 17:25:40.627889","uv1uXqyRwmNAW9Gi","S046","Busy professional","A",9
"2025-12-04 16:47:32.451497","fKCvLNTi3Oyxsczj","S047","Budget-conscious student","A",5
"2025-12-04 17:40:53.502684","RB2okQD44iHt6Jgs","S048","Busy professional","B",6
"2025-12-04 17:27:16.10472","xgYadDwx9xYBcbyD","S049","Busy professional","A",6
"2025-12-04 17:33:38.389946","WwJGRa7g3bKTdOqa","S050","Busy professional","A",7
"2025-12-04 17:21:52.111161","MsBHikM54MnZf8GA","S051","Budget-conscious student","B",6
"2025-12-04 16:57:51.514491","dZ4GTtZIZP33Gvrk","S052","Budget-conscious student","A",5
"2025-12-04 16:41:56.267642","P5FjWgaDkAvViG0x","S053","Just browsing / curious","A",3
"2025-12-04 16:58:32.069789","bd2Ljp33p0oYgkzg","S054","Budget-conscious student","A",6
"2025-12-04 17:11:10.567169","CUW4s8u5Euy8MyWB","S055","Just browsing / curious","A",6
"2025-12-04 17:15:16.77887","hgcHKsFQfwBeql70","S056","Busy professional","B",8
"2025-12-04 16:44:30.779587","5Ml54p8uF2EvQmhl","S057","Budget-conscious student","B",8
"2025-12-04 17:34:13.897133","VmUOoBtBD3RgP5pC","S058","Just browsing / curious","A",5
"2025-12-04 17:36:56.027853","vqZCZakwO7gXtdn6","S059","Just browsing / curious","B",5
"2025-12-04 16:48:06.073115","2wneqnmUJqbM7wlx","S060","Busy professional","A",4
"2025-12-04 17:15:58.522947","4VciupjsTR8fkwMN","S061","Busy professional","A",6
"2025-12-04 17:38:54.052045","F8a0xaoMZdNudjDn","S062","Busy professional","B",7
"2025-12-04 17:02:35.758772","AEs9MP6lHvahb62W","S063","Just browsing / curious","B",5
"2025-12-04 17:13:19.521504","JhLM5t5zQsAYJFDR","S064","Busy professional","A",8
"2025-12-04 17:04:22.016445","FSZJsKOv0xe944Sg","S065","Just browsing / curious","A",7
"2025-12-04 17:25:11.614932","MVN1qZaAgJyFcUtu","S066","Just browsing / curious","B",7
"2025-12-04 17:32:00.287457","OxXg8ON8ZVWVlJKv","S067","Budget-conscious student","A",5
"2025-12-04 17:34:35.235116","BDXP10h6q6z4aquF","S068","Budget-conscious student","A",3
"2025-12-04 17:10:58.892182","arwWFvUmkHCZAvND","S069","Budget-conscious student","A",5
"2025-12-04 17:08:33.634254","ev6dFTLo2RmaYWuZ","S070","Just browsing / curious","A",4
"2025-12-04 17:33:00.224207","27XqqMorrRceHEOO","S071","Busy professional","B",9
"2025-12-04 17:31:15.381909","uBcEaUJOXZQSNlnQ","S072","Budget-conscious student","A",7
"2025-12-04 16:55:43.403326","IbOHpQjzYrSWfMH1","S073","Budget-conscious student","A",7
"2025-12-04 17:09:47.928703","AicCtT46fHGiBTpH","S074","Budget-conscious student","A",3
"2025-12-04 16:49:46.988802","IB9D9BqOstmMRk1m","S075","Busy professional","A",8
"2025-12-04 17:01:01.752532","iiPcwBAN6pgKAAvW","S076","Busy professional","B",7
"2025-12-04 17:40:39.602782","IDOwzTN3DrTkRSUm","S077","Busy professional","B",8
"2025-12-04 16:59:51.034444","zhJrubantaZngmx9","S078","Just browsing / curious","A",4
"2025-12-04 16:47:56.381053","R359iXBWErXTLI86","S079","Budget-conscious student","B",7
"2025-12-04 17:03:31.889858","OnFhnT7XfXKhsYMZ","S080","Just browsing / curious","B",5
"2025-12-04 17:35:00.289731","of4m25ToiaGbwZ76","S081","Busy professional","B",5
"2025-12-04 16:46:10.715755","eAy6cj8QbdUCr8vU","S082","Budget-conscious student","B",8
"2025-12-04 17:00:55.245917","SziExYTMbd9Cfx9O","S083","Budget-conscious student","A",6
"2025-12-04 17:32:31.613124","1k7wwenhTyf3CxZJ","S084","Budget-conscious student","B",6
"2025-12-04 16:56:43.319857","rzMim7i6b1hULVmM","S085","Budget-conscious student","B",7
"2025-12-04 16:44:53.194586","a1WJooglcloS8KXy","S086","Budget-conscious student","B",7
"2025-12-04 17:16:11.730337","nVBFbeEUezoE4dg1","S087","Budget-conscious student","A",6
"2025-12-04 17:23:34.747407","OAnaw6epAmaLo9xr","S088","Budget-conscious student","A",8
"2025-12-04 17:25:52.614476","5biHy7SrIL1ZcIQB","S089","Budget-conscious student","B",6
"2025-12-04 17:28:04.177748","iuaHaswqo7UwrTDW","S090","Just browsing / curious","A",4
"2025-12-04 17:07:30.194853","H7f9eFnDrD1Jha1X","S091","Budget-conscious student","B",8
"2025-12-04 16:56:02.610011","iL1UEm4V5Ngqbexd","S092","Budget-conscious student","B",8
"2025-12-04 17:01:15.977724","1feY9WQnq2xGDWtf","S093","Budget-conscious student","A",7
"2025-12-04 17:08:39.068429","8UKcSqhKHQ8YyIV8","S094","Busy professional","B",7
"2025-12-04 16:52:45.281321","ZL4DrZh5DGGlXpBz","S095","Busy professional","B",10
"2025-12-04 16:55:53.550002","eMq7UlGRNodH72Fi","S096","Busy professional","A",7
"2025-12-04 17:40:14.304011","uHJUI5SpsCkUWQ39","S097","Busy professional","A",9
"2025-12-04 17:18:35.297168","fSfyOOCtkqBYYK1J","S098","Budget-conscious student","B",4
"2025-12-04 17:38:23.38208","zRR9AH3y6aRK1Ecv","S099","Budget-conscious student","A",6
"2025-12-04 16:53:34.099915","amDDW54sEEALXF09","S100","Busy professional","A",8
"2025-12-04 16:46:01.233321","1yICcRre5YexMyUN","S101","Busy professional","A",5
"2025-12-04 17:08:53.196355","9b77XE3Pegqxq6qc","S102","Budget-conscious student","B",5
"2025-12-04 16:50:18.037928","7oQQRpgbIf94K5kg","S103","Busy professional","B",6
"2025-12-04 17:06:25.724181","pAGuLbsGn70myJZ9","S104","Busy professional","A",5
"2025-12-04 17:01:20.585372","rPmeCsSlUfubj8r2","S105","Just browsing / curious","B",4
"2025-12-04 17:10:45.817941","OIYDUXMW39M94aEb","S106","Just browsing / curious","B",5
"2025-12-04 16:55:40.648367","4nZ3Xxv0iLaCsqn4","S107","Budget-conscious student","A",2
"2025-12-04 16:47:14.446253","1EpQrK5pr5SW3le5","S108","Budget-conscious student","A",6
"2025-12-04 16:52:12.842245","WU2kY9AoBr0yD1Ji","S109","Just browsing / curious","A",6
"2025-12-04 17:37:09.39583","pwm2AnYWvc8gKdMM","S110","Just browsing / curious","B",8
"2025-12-04 17:41:12.523654","uYQ7AbPj4TUNDOy4","S111","Budget-conscious student","B",8
"2025-12-04 17:38:18.635472","7HASpXoKTFluRP88","S112","Just browsing / curious","B",6
"2025-12-04 16:49:26.933842","QgEFnAYavfJqrUud","S113","Busy professional","B",5
"2025-12-04 17:06:52.067881","cKdCu9sr8cdL4pcd","S114","Budget-conscious student","A",5
"2025-12-04 17:22:36.71723","76yWIUJcZUQIJhjv","S115","Budget-conscious student","A",5
"2025-12-04 16:43:52.473667","PG7K7ewkNEHgILVY","S116","Busy professional","B",9
"2025-12-04 17:05:58.252964","wYQm5ZgrB39sKm1r","S117","Busy professional","B",8
"2025-12-04 17:09:33.47688","6hE0a7Nd776PN78B","S118","Budget-conscious student","B",5
"2025-12-04 17:18:24.378471","YGLWFATYP82xy0WD","S119","Budget-conscious student","A",8
"2025-12-04 17:22:16.158863","YV2v5DegujihySfs","S120","Busy professional","B",9
"2025-12-04 16:52:56.35997","a4b2BztrSYkv9jEK","S121","Busy professional","A",7
"2025-12-04 17:38:55.640295","FtNarhW1kAAPVSie","S122","Budget-conscious student","B",8
"2025-12-04 17:19:37.076788","rnxFQjBS4hqEuWas","S123","Budget-conscious student","A",3
"2025-12-04 16:50:02.801408","06JDyMcfXrwAM7WO","S124","Busy professional","A",7
"2025-12-04 16:59:33.942806","3HGTa9O6kMJQa1cW","S125","Budget-conscious student","A",5
"2025-12-04 17:00:22.399186","Yomj3y9P0jiCVXCv","S126","Budget-conscious student","B",8
"2025-12-04 17:20:33.696299","vCAFWLulWQkrKdVo","S127","Busy professional","B",8
"2025-12-04 17:08:09.695903","wAbj6rwEKlmVmWmE","S128","Budget-conscious student","A",6
"2025-12-04 17:33:12.473466","jH928qaCg3WEKrXu","S129","Budget-conscious student","A",8
"2025-12-04 16:54:20.796886","wQGwtmAgDg3mOmrf","S130","Busy professional","A",7
"2025-12-04 16:48:13.845231","ZbQRvR26F2QjXiY3","S131","Just browsing / curious","B",6
"2025-12-04 17:29:11.805309","p7PMVeo8cQGYJAuG","S132","Budget-conscious student","A",4
"2025-12-04 16:55:12.307828","S4nlwRxzWB4qYibw","S133","Busy professional","B",7
"2025-12-04 17:05:39.64383","9uz9erzp7lJWX7F5","S134","Busy professional","B",10
"2025-12-04 16:43:58.939416","3GfCDZuApJJj68jQ","S135","Budget-conscious student","B",7
"2025-12-04 17:31:55.272258","HaM1YDsmAktP5Svy","S136","Just browsing / curious","B",2
"2025-12-04 17:09:53.043102","PqdEXvXjl3COtDBx","S137","Just browsing / curious","B",3
"2025-12-04 16:49:03.205566","hlCyt2I78vutoHi1","S138","Just browsing / curious","B",4
"2025-12-04 16:49:15.608636","HCkh9ONLKK25LSRH","S139","Just browsing / curious","B",6
"2025-12-04 17:40:01.271373","uKPwHYjF5ODTlPHH","S140","Busy professional","A",6
"2025-12-04 16:42:53.347592","Vx59F6GgDQAegeIM","S141","Just browsing / curious","B",6
"2025-12-04 17:12:01.743375","gktzZR1bEq2ixnzq","S142","Budget-conscious student","B",8
"2025-12-04 17:18:05.537326","dDMkZlxQmnAyAzIW","S143","Just browsing / curious","B",7
"2025-12-04 17:16:23.352633","RLc3KfFTZmvLmUR4","S144","Budget-conscious student","A",6
"2025-12-04 17:35:52.017535","QObwVRiVCWDfH9W7","S145","Just browsing / curious","B",5
"2025-12-04 17:31:44.037332","jhPBCuxQMWqbcrNr","S146","Budget-conscious student","B",4
"2025-12-04 17:17:07.051106","ZH6FCs97bJvkuViC","S147","Busy professional","B",8
"2025-12-04 17:20:56.01849","n87xpsEFLCmq3xpK","S148","Budget-conscious student","A",5
"2025-12-04 17:16:31.623657","06guGzzBjUXgKEJD","S149","Budget-conscious student","B",5
"2025-12-04 17:23:11.9616","JWpgMvp64MsnkLkA","S150","Just browsing / curious","B",5
"2025-12-04 17:07:49.540554","aMVvmamzlrNgexw8","S151","Budget-conscious student","A",7
"2025-12-04 17:32:05.403547","y3RREUaiEFfHcnlX","S152","Busy professional","B",5
"2025-12-04 16:44:02.863338","cKS37Z9AhdBUlsiT","S153","Just browsing / curious","A",3
"2025-12-04 17:38:48.270638","iNBD6uHzbM9DX9e9","S154","Budget-conscious student","B",7
"2025-12-04 17:19:06.782615","saNPHYYR1wkieI52","S155","Just browsing / curious","A",3
"2025-12-04 16:43:41.13526","pGUz9K23BeRC1nPM","S156","Busy professional","A",7
"2025-12-04 17:02:43.011432","cun51tbpVEEWHO1B","S157","Just browsing / curious","A",5
"2025-12-04 17:37:46.005077","XGEOJTb0qxNCr4Ks","S158","Just browsing / curious","A",4
"2025-12-04 17:16:50.745146","Rk4bzs3Do0pPfed9","S159","Budget-conscious student","A",2
"2025-12-04 17:15:53.292006","rLdYc7qhTeSxkoVV","S160","Busy professional","A",10
"2025-12-04 17:10:57.181384","a0RcD7hCnIeDpfJn","S161","Budget-conscious student","A",5
"2025-12-04 17:14:27.99081","LHvfG43pUd7letGT","S162","Budget-conscious student","B",7
"2025-12-04 17:04:02.809508","uP9iv40bh5OeuNnF","S163","Busy professional","B",8
"2025-12-04 17:33:02.629937","wVtsZ5DWkoEvNe7l","S164","Budget-conscious student","B",8
"2025-12-04 16:46:57.943446","ZlAXN7PjzEaTuf9z","S165","Budget-conscious student","A",7
"2025-12-04 17:07:16.5547","wa17RmINFsuPkO3I","S166","Busy professional","B",7
"2025-12-04 17:08:32.740423","eyWNv3hHgG9WKjfu","S167","Budget-conscious student","A",6
"2025-12-04 17:34:25.971048","zVJ54xjcla1As2U4","S168","Budget-conscious student","A",4
"2025-12-04 16:55:43.248492","3ZiWK4hnd8tTsTau","S169","Just browsing / curious","B",6
"2025-12-04 17:12:44.420481","YyGNZPB05pX3hGPY","S170","Just browsing / curious","A",3
"2025-12-04 16:54:31.462396","GZlJt53bLQWsQF9P","S171","Just browsing / curious","B",8
"2025-12-04 17:38:40.854914","66DCmLDy5Eu1WITN","S172","Budget-conscious student","B",4
"2025-12-04 16:52:15.109685","t0KY7ZGIVFjIEAyE","S173","Busy professional","B",7
"2025-12-04 17:25:16.680078","P08u5F5Wav3Zaboq","S174","Just browsing / curious","B",6
"2025-12-04 17:24:28.288997","fkWuhxh7sAEyBJAx","S175","Just browsing / curious","A",5
"2025-12-04 17:02:50.952875","qE3tQb0wNpvbaspb","S176","Busy professional","A",6
"2025-12-04 16:44:33.322673","ruaeVrZZWm4qSkjh","S177","Busy professional","A",5
"2025-12-04 17:41:01.356053","QyOlMqe24hTt9A2D","S178","Budget-conscious student","B",7
"2025-12-04 17:20:20.72687","QaZcizjWug3mfEda","S179","Budget-conscious student","B",6
"2025-12-04 17:16:17.985879","R4ZGb5yedgX60Vh2","S180","Busy professional","B",5
"2025-12-04 17:13:58.19402","8ajMmWKzNpyPzaoH","S181","Just browsing / curious","B",5
"2025-12-04 16:58:44.457203","chG7OVfeukuNPVA6","S182","Busy professional","A",7
"2025-12-04 16:46:15.097481","uYuNNFAfa8Y80oNq","S183","Budget-conscious student","A",6
"2025-12-04 17:03:48.951967","YrBxrIUa4UnP24s7","S184","Busy professional","A",5
"2025-12-04 16:47:18.696087","2JZdeeM2hWAc1JNV","S185","Just browsing / curious","A",5
"2025-12-04 16:56:00.165516","B5f0yvsSSiVbh3kJ","S186","Busy professional","B",10
"2025-12-04 17:33:10.260373","MGuYd7FJuUOQTFiK","S187","Budget-conscious student","B",7
"2025-12-04 17:32:14.832928","ggxVDUyFqMhOR2Vn","S188","Budget-conscious student","A",4
"2025-12-04 17:29:57.826616","1I2ftk8LFpgJEyz0","S189","Budget-conscious student","A",5
"2025-12-04 17:15:27.083983","MBY9CmpfNYtkzomS","S190","Budget-conscious student","B",7
"2025-12-04 17:36:12.561002","bS6konUqKOBONrWh","S191","Busy professional","B",7
"2025-12-04 17:28:00.942485","dBQpBLGMDsmWU63b","S192","Budget-conscious student","A",2
"2025-12-04 17:07:06.815243","IXhpgXtwBxFVNwNn","S193","Busy professional","A",8
"2025-12-04 17:17:25.941447","TRxkFat7sxXSQd3U","S194","Busy professional","B",7
"2025-12-04 17:07:30.875118","pNHzYg9OVYV0d4ce","S195","Budget-conscious student","B",6
"2025-12-04 16:51:39.904526","PrBXjEj6QvHkTvON","S196","Budget-conscious student","A",8
"2025-12-04 17:02:54.940739","HCzGtxyy4AK3xhBy","S197","Budget-conscious student","A",4
"2025-12-04 17:17:57.154983","Rsm9hF1Sxw7lhUz5","S198","Budget-conscious student","B",8
"2025-12-04 16:58:52.063012","REcSdoTcCz8lExbE","S199","Budget-conscious student","A",4
"2025-12-04 17:34:54.783826","8Whu8DVoXFxxVAF1","S200","Busy professional","B",7
